# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	16305
#@/user_id	795262db-87d0-4783-b0bf-776301b58950
a 	啊	c=234 d=2.55875 t=16075
shuo lai ting ting 	說來聽聽	c=1 d=1 t=10440
shuo le 	說了	c=6 d=1.011 t=15074
shuo liang ju hua 	說兩句話	c=1 d=1 t=13948
shuo me 	說麼	c=1 d=0.1 t=10162
shuo ming 	說明	c=1 d=0.100004 t=5723
shuo sha 	說啥	c=0 d=0.100002 t=13370
shuo sha dou mei shi 	說啥都沒是	c=1 d=1 t=13371
shuo sha le 	說啥了	c=1 d=1 t=11219
shuo shen me 	說什麼	c=3 d=1 t=9365
shuo shi 	說是	c=5 d=1 t=12466
shuo shi hua 	說實話	c=2 d=1 t=6157
shuo shuo 	說說	c=0 d=0.1 t=6267
shuo wo 	說我	c=1 d=0.111796 t=2248
shuo xia 	說下	c=1 d=1.07788 t=13579
shuo xie 	說些	c=1 d=1 t=1426
shuo yao 	說要	c=1 d=1 t=1268
shuo yi xia 	說一下	c=5 d=1.00014 t=14728
shuo zhe ge 	說這個	c=1 d=1 t=11240
si chu 	四處	c=0 d=0.1 t=13147
si chu ai da 	四處捱打	c=1 d=1 t=13148
si chuan 	四川	c=0 d=0.1 t=6227
si chuan lu qiao 	四川路橋	c=1 d=1 t=6228
si ge 	四個	c=0 d=0.100033 t=16257
si ge ji qi 	四個機器	c=1 d=1 t=14657
si huo 	私活	c=2 d=1.99005 t=9474
si le 	死了	c=0 d=0.1 t=4011
si li lan ka 	斯里蘭卡	c=1 d=1 t=12638
si ma 	四媽	c=1 d=1 t=11681
si ma dang huo ma yi 	死馬當活馬醫	c=1 d=1 t=332
si qi 	私企	c=0 d=0.1 t=5859
si ren 	私人	c=1 d=0.111333 t=15878
si ren cang ku 	私人倉庫	c=1 d=1 t=15879
si you 	私有	c=0 d=0.1 t=14681
si you yun pan 	私有雲盤	c=3 d=2.1844 t=14995
si yuan 	四院	c=1 d=1 t=1617
si zai 	死在	c=0 d=0.1 t=8295
si zai le 	死在了	c=1 d=1 t=8296
song 	松	c=0 d=0.1 t=4782
song hai 	送還	c=10 d=1.00001 t=14926
song jin 	鬆緊	c=1 d=1 t=4347
song le 	鬆了	c=1 d=1 t=6796
song me 	松麼	c=1 d=1 t=4775
song yi dian 	松一點	c=1 d=1 t=4783
song yi xia 	鬆一下	c=1 d=1 t=18
sou 	搜	c=2 d=1.00004 t=8700
sou dao 	搜到	c=1 d=1 t=8702
sou suo 	搜索	c=0 d=0.17788 t=8646
sou suo bu dao 	搜索不到	c=1 d=1 t=8647
sou suo ye mian 	搜索頁面	c=1 d=1 t=8597
sou yi xia 	搜一下	c=2 d=1 t=6094
su du 	速度	c=5 d=1.98725 t=7887
su liao pao mo 	塑料泡沫	c=1 d=1 t=5220
su se 	素色	c=1 d=1 t=15981
su she 	宿舍	c=0 d=0.1 t=12454
su she li 	宿舍裏	c=1 d=1 t=12457
suan 	算	c=0 d=0.1 t=5439
suan 	蒜	c=1 d=1 t=4867
suan 	酸	c=2 d=1 t=7796
suan de 	算的	c=1 d=1 t=12991
suan fa 	算法	c=1 d=1 t=9748
suan le 	算了	c=1 d=1 t=6571
suan nai 	酸奶	c=1 d=1 t=987
suan ni 	算你	c=1 d=1 t=8157
suan ni 	蒜泥	c=1 d=1 t=8156
suan sha a 	算啥啊	c=1 d=1 t=2292
suan shi 	算是	c=0 d=0.1 t=1889
suan wan de 	算晚的	c=1 d=1 t=5440
suan yi ge 	算一個	c=1 d=1 t=1590
suan zhong nian ren me 	算中年人麼	c=1 d=1 t=2310
sui 	歲	c=2 d=1 t=9948
sui bian 	隨便	c=0 d=0.109398 t=4897
sui bian gao kuai 	隨便搞塊	c=1 d=1 t=2805
sui bian mai dian jiu xing 	隨便買點就行	c=1 d=1 t=4425
sui bian xuan ze 	隨便選擇	c=1 d=1 t=4898
sui he 	隨和	c=1 d=1 t=14309
sui jing 	綏靖	c=1 d=1 t=8712
sui jiu chi 	歲就喫	c=1 d=1 t=6720
sui ran 	雖然	c=2 d=1.46301 t=3717
sui ran ke yi 	雖然可以	c=1 d=1 t=2418
sui shi 	隨時	c=2 d=1 t=9607
sui yi 	遂意	c=1 d=1.09048 t=15341
sui yi 	隨意	c=1 d=1 t=15342
sui yi ba 	遂意吧	c=1 d=1 t=15322
sui yi hou 	歲以後	c=1 d=1 t=2309
sui yong sui qu 	隨用隨取	c=1 d=1 t=14351
sui zhi hou 	歲之後	c=1 d=1 t=2305
sun huai 	損壞	c=1 d=1.08353 t=6580
sun shi 	損失	c=0 d=0.1 t=431
sun shi shu ju 	損失數據	c=1 d=1 t=432
suo 	所	c=6 d=1 t=14824
suo li 	所裏	c=1 d=1 t=795
suo liang 	縮量	c=1 d=1 t=6437
suo ma li 	索馬里	c=0 d=0.1 t=3519
suo ma li lan 	索馬里蘭	c=2 d=1.99501 t=3521
suo me 	所麼	c=1 d=1 t=803
suo qu 	索取	c=1 d=1 t=8855
suo qu 	鎖區	c=1 d=1 t=8856
suo wei 	所謂	c=0 d=0.1 t=11376
suo wei de 	所謂的	c=1 d=1 t=352
suo yi 	所以	c=20 d=1.09227 t=15194
suo yi shou le 	所以瘦了	c=1 d=1 t=4693
suo yi shuo 	所以說	c=4 d=1.00669 t=10468
suo you 	所有	c=2 d=1.97531 t=15538
suo you de 	所有的	c=1 d=1 t=10662
ta 	他	c=12 d=0.843809 t=16195
ta 	她	c=10 d=1.49377 t=15600
ta 	它	c=8 d=1.00001 t=11275
ta bu shi 	他不是	c=1 d=1 t=4083
ta chu 	他出	c=0 d=0.1 t=10846
ta chu yu 	他出於	c=1 d=1 t=10847
ta de 	她的	c=1 d=1 t=932
ta de 	它的	c=1 d=1 t=15380
ta de ren 	他的人	c=1 d=1 t=10475
ta dou 	她都	c=0 d=0.1 t=13706
ta dou zuo shen me 	她都做什麼	c=1 d=1 t=13707
ta fa le 	他發了	c=1 d=1 t=3752
ta gu ji 	他估計	c=1 d=1 t=654
ta hai zai 	他還在	c=1 d=1 t=12683
ta hui 	他會	c=1 d=1 t=15649
ta hui chu li 	他會處理	c=1 d=1 t=2965
ta jin qu de hua 	她進去的話	c=1 d=1 t=964
ta jiu 	他就	c=1 d=1 t=6373
ta jiu chi sha 	他就喫啥	c=1 d=1 t=3960
ta kai le ge wan xiao 	他開了個玩笑	c=1 d=1 t=12145
ta ken ding zhi dao 	他肯定知道	c=1 d=1 t=2830
ta lia 	他倆	c=1 d=1 t=12505
ta liang 	他倆	c=1 d=1 t=1087
ta ma de 	他媽的	c=1 d=1 t=11666
ta mei hui fu 	他沒回覆	c=1 d=1 t=16100
ta men 	他們	c=22 d=1.31314 t=15977
ta men 	她們	c=1 d=1 t=1023
ta men de che 	他們的車	c=1 d=1 t=9919
ta men gei 	他們給	c=1 d=1 t=13825
ta men na bian 	他們那邊	c=1 d=1 t=10546
ta men shuo 	他們說	c=1 d=1 t=1616
ta men wei hu 	他們維護	c=1 d=1 t=5545
ta men xiu 	他們修	c=1 d=1 t=5559
ta men ye xiang chi 	他們也想喫	c=1 d=1 t=1332
ta men ying gai you 	他們應該有	c=1 d=1 t=14061
ta men you qian 	他們有錢	c=1 d=1 t=13160
ta men zi ji lai 	他們自己來	c=1 d=1 t=13819
ta niang 	他娘	c=0 d=0.1 t=13318
ta nong 	他弄	c=1 d=1 t=14173
ta rang wo 	他讓我	c=1 d=1 t=15781
ta shi bu shi 	他是不是	c=1 d=1 t=13552
ta shuo 	他說	c=2 d=1 t=12144
ta shuo 	她說	c=0 d=0.1 t=962
ta shuo de 	他說的	c=1 d=1 t=2721
ta suo 	她所	c=0 d=0.1 t=14314
ta suo you de zheng 	她所有的證	c=1 d=1 t=14315
ta wei 	他爲	c=0 d=0.1 t=10972
ta wei sha zhao ni 	他爲啥找你	c=1 d=1 t=10973
ta xian 	他先	c=0 d=0.1 t=8347
ta xian kan kan 	他先看看	c=1 d=1 t=8348
ta xiang 	她想	c=0 d=0.1 t=902
ta xiang chi 	他相斥	c=1 d=1 t=642
ta xiang qu 	她想去	c=1 d=1 t=903
ta xu yao lian xi 	他需要聯繫	c=1 d=1 t=14662
ta ye 	它也	c=0 d=0.1 t=6708
ta ye bu ren shi ni 	他也不認識你	c=1 d=1 t=11505
ta ye mei shuo 	他也沒說	c=1 d=1 t=12628
ta ye shi 	它也是	c=1 d=1 t=6709
ta yi si 	他意思	c=1 d=1 t=15959
ta you 	她有	c=1 d=1 t=816
ta you 	它又	c=1 d=1 t=12046
ta you shen me zi ge 	他有什麼資格	c=1 d=1 t=11122
ta zen me hui fu 	他怎麼回覆	c=1 d=1 t=2726
ta zhe ge 	他這個	c=1 d=1 t=11460
tai 	太	c=0 d=0.1 t=16142
tai 	泰	c=0 d=0.1 t=7227
tai can le 	太慘了	c=0 d=0.1 t=11692
tai chang 	太長	c=0 d=0.1 t=6991
tai chang le ye 	太長了也	c=1 d=1 t=6992
tai cheng 	太撐	c=1 d=0.1 t=11478
tai da 	太大	c=1 d=0.1 t=11617
tai da le 	太大了	c=1 d=1 t=4566
tai dong 	太懂	c=0 d=0.1 t=8255
tai du 	態度	c=2 d=1.99501 t=1501
tai du 	臺獨	c=1 d=1 t=11324
tai duan 	太短	c=1 d=1 t=385
tai dui le 	太對了	c=1 d=1 t=2231
tai duo 	太多	c=0 d=0.1 t=9804
tai duo le 	太多了	c=1 d=1 t=3113
tai duo tian de 	太多甜的	c=1 d=1 t=6862
tai er 	胎兒	c=1 d=1 t=8182
tai fu za 	太複雜	c=1 d=1 t=8457
tai gao le 	太高了	c=1 d=1 t=1143
tai gui le 	太貴了	c=1 d=1 t=13705
tai hao 	太好	c=0 d=0.1 t=7804
tai hou 	太厚	c=0 d=0.1 t=6811
tai hou le 	太厚了	c=1 d=1 t=6812
tai huai 	太壞	c=0 d=0.1 t=10461
tai ji 	太急	c=1 d=1 t=6820
tai ji 	太極	c=0 d=0.1 t=11707
tai ji zhang san feng 	太極張三丰	c=2 d=1.84366 t=11742
tai jiu 	太久	c=2 d=0.1 t=8922
tai ke pa 	太可怕	c=1 d=1 t=7812
tai kui le 	太虧了	c=1 d=1 t=2022
tai lao le 	太老了	c=1 d=1 t=4570
tai lei 	太累	c=0 d=0.1625 t=1934
tai lei a 	太累啊	c=1 d=1 t=1935
tai mao 	胎毛	c=2 d=1.99005 t=5884
tai mian 	太麪	c=1 d=1 t=7801
tai ming xian 	太明顯	c=1 d=1 t=4970
tai nan 	太難	c=1 d=1 t=8980
tai nan le 	太難了	c=5 d=1 t=11697
tai nan le a 	太難了啊	c=1 d=1 t=3809
tai qi guai le 	太奇怪了	c=1 d=1 t=9726
tai ruo le 	太弱了	c=1 d=1 t=4979
tai shou le 	太瘦了	c=1 d=1 t=6295
tai shun chang me 	太順暢麼	c=1 d=1 t=3291
tai wan 	臺灣	c=1 d=1 t=3441
tai xian le 	太險了	c=1 d=1 t=6530
tai xiao le 	太小了	c=1 d=1 t=8380
tai xin 	胎心	c=0 d=0.1 t=4293
tai xin ku le 	太辛苦了	c=1 d=1 t=8933
tai za luan 	太雜亂	c=1 d=1 t=16143
tai zao 	太早	c=0 d=0.1 t=11555
tan 	彈	c=0 d=0.196079 t=11994
tan 	談	c=0 d=0.1 t=2036
tan gan qing 	談感情	c=1 d=1 t=2037
tan shui 	碳水	c=1 d=1.09612 t=6219
tan suan qing na 	碳酸氫鈉	c=1 d=1 t=10359
tan tan 	談談	c=2 d=1 t=13520
tan zhe 	談着	c=0 d=0.1 t=2076
tan zong 	譚總	c=2 d=1.97045 t=11722
tang 	湯	c=1 d=0.245148 t=6464
tang 	趟	c=0 d=0.1 t=2591
tang e 	塘鵝	c=1 d=1 t=15808
tang ping 	躺平	c=0 d=0.1 t=15322
tang ping jiu wan le 	躺平就完了	c=1 d=1 t=12446
tang ping le 	躺平了	c=1 d=1 t=15323
tang zhe 	躺着	c=1 d=1 t=1807
tao 	套	c=0 d=0.1 t=13153
tao 	桃	c=1 d=1.07045 t=4928
tao 	討	c=0 d=0.1 t=8050
tao bao 	淘寶	c=3 d=1.97045 t=16184
tao can 	套餐	c=0 d=0.1 t=14086
tao jian 	套件	c=2 d=1.00009 t=8910
tao jian 	套間	c=1 d=1 t=7052
tao lun 	討論	c=0 d=0.1 t=15528
tao lun le xia 	討論了下	c=1 d=1 t=15529
tao lun shen me 	討論什麼	c=1 d=1 t=10699
tao lun xia 	討論下	c=2 d=0.124234 t=14250
tao lun xia ba 	討論下巴	c=1 d=1 t=2767
tao lun yi xia 	討論一下	c=1 d=1 t=16102
tao shen le 	套深了	c=1 d=1 t=13154
tao yi dian 	討一點	c=2 d=1.94649 t=8062
tao you guan xi 	桃有關係	c=1 d=1 t=4929
te bie 	特別	c=0 d=0.1 t=14423
te bie de me 	特別的麼	c=1 d=1 t=3447
te bie xiao 	特別小	c=1 d=1 t=12149
te shu 	特殊	c=0 d=0.1 t=12259
te shu jie dian 	特殊節點	c=1 d=1 t=12260
te shu yong tu 	特殊用途	c=1 d=1 t=13254
teng 	疼	c=2 d=1 t=12488
teng de 	疼得	c=0 d=0.1 t=2275
teng de li hai 	疼得厲害	c=1 d=1 t=2276
teng hai shi 	疼還是	c=1 d=1 t=977
teng xun 	騰訊	c=1 d=1.01534 t=15958
teng xun shi pin 	騰訊視頻	c=1 d=1 t=4306
teng xun yun 	騰訊雲	c=6 d=2.88622 t=16010
teng zhi wai 	疼之外	c=1 d=1 t=2540
ti 	剃	c=0 d=0.1 t=5888
ti chu lai 	提出來	c=0 d=0.1 t=15960
ti chu lai de 	提出來的	c=1 d=1 t=15961
ti dai 	替代	c=0 d=0.1 t=15384
ti dao 	提到	c=1 d=1 t=7161
ti gao 	提高	c=2 d=1.99501 t=9389
ti ge 	提個	c=1 d=1 t=2750
ti gong 	提供	c=2 d=1.18544 t=16266
ti huan 	替換	c=1 d=1 t=42
ti jiao 	提交	c=0 d=0.1 t=13648
ti jiao shang qu 	提交上去	c=1 d=1 t=13649
ti le 	提了	c=0 d=0.1 t=7474
ti liang 	體諒	c=0 d=0.1 t=1953
ti liang ni 	體諒你	c=1 d=1 t=1954
ti me 	剃麼	c=1 d=1 t=5886
ti qian 	提前	c=1 d=0.100001 t=11548
ti qian duo jiu 	提前多久	c=1 d=1 t=6152
ti qian hui qu de le 	提前回去得了	c=1 d=1 t=6829
ti qian shuo 	提前說	c=1 d=1 t=7780
ti qian zou 	提前走	c=1 d=1 t=11549
ti shi 	提示	c=1 d=0.100207 t=9076
ti shi ni 	提示你	c=1 d=1 t=5329
ti wan 	提完	c=1 d=1 t=3008
ti wo 	提我	c=1 d=1 t=12717
ti xi 	體系	c=1 d=1 t=12326
ti xing 	提醒	c=1 d=0.100387 t=9989
ti yan 	體驗	c=2 d=1.00013 t=15396
ti yan yi xia 	體驗一下	c=2 d=1.71892 t=13400
ti yi xia 	提一下	c=1 d=1 t=7332
ti zhong 	體重	c=0 d=0.1 t=7419
ti zhong dou you dian 	體重都有點	c=1 d=1 t=7420
ti zhong zeng jia 	體重增加	c=1 d=1 t=11660
tian 	天	c=10 d=2.80432 t=11969
tian ban 	天半	c=0 d=0.1 t=11905
tian chong 	填充	c=2 d=1.98511 t=14519
tian dao 	天道	c=3 d=2.98506 t=8168
tian de 	天的	c=0 d=0.1 t=1794
tian de 	甜的	c=0 d=0.1 t=12810
tian de le 	甜的了	c=1 d=1 t=12811
tian e 	天鵝	c=0 d=0.1 t=13754
tian e dao jia 	天鵝到家	c=1 d=1 t=13755
tian jia 	天假	c=1 d=1 t=6371
tian jia 	添加	c=3 d=0.1 t=11616
tian jia ji 	添加劑	c=2 d=1.9802 t=10365
tian jia shang 	添加上	c=1 d=1 t=781
tian lai 	天籟	c=1 d=1 t=1816
tian qian 	天前	c=1 d=1 t=9518
tian shan 	天山	c=0 d=0.1 t=6239
tian shan lv ye 	天山鋁業	c=1 d=1 t=6240
tian shu 	天書	c=1 d=1 t=12430
tian tian 	天天	c=2 d=1.06839 t=11971
tian tian hun 	天天混	c=1 d=1 t=11896
tian tian la 	天天拉	c=1 d=1 t=3297
tian tian shua ya 	天天刷牙	c=1 d=1 t=7816
tian tian zuo fan 	天天做飯	c=1 d=1 t=6787
tian xian 	天線	c=1 d=1 t=6358
tian xue 	天雪	c=4 d=1 t=10029
tian zuo he 	天作合	c=1 d=1 t=11155
tiao 	調	c=1 d=1.0216 t=4782
tiao 	跳	c=0 d=0.199005 t=9521
tiao jian 	條件	c=0 d=0.1 t=5754
tiao jian dan 	條件單	c=5 d=1.97045 t=11047
tiao jie 	調節	c=0 d=0.1 t=4314
tiao xiu 	調休	c=1 d=0.1 t=9966
tiao xiu ba 	調休吧	c=1 d=1 t=9967
tiao yi xia 	調一下	c=1 d=1 t=4326
tiao yu 	條魚	c=0 d=0.1 t=4459
tiao zhe 	挑着	c=1 d=1 t=13951
tiao zheng 	調整	c=0 d=0.1 t=8919
tiao zheng xia 	調整下	c=1 d=1 t=8920
tiao zhuan 	跳轉	c=0 d=0.1 t=8216
tie 	貼	c=0 d=0.1 t=7676
tie cuo le 	貼錯了	c=1 d=1 t=7677
ting 	挺	c=1 d=0.100246 t=14352
ting da 	挺大	c=1 d=1 t=10213
ting fang bian de 	挺方便的	c=1 d=1 t=14353
ting guo 	聽過	c=0 d=0.1 t=12398
ting guo de 	聽過的	c=1 d=1 t=6148
ting guo qu 	挺過去	c=0 d=0.1 t=12900
ting guo qu le 	挺過去了	c=1 d=1 t=12901
ting hao 	挺好	c=1 d=0.1 t=13913
ting hao chi 	挺好喫	c=2 d=1.0001 t=6479
ting kuai 	挺快	c=1 d=1 t=944
ting nan 	挺難	c=1 d=1 t=14145
ting pai 	停牌	c=2 d=2.1995 t=11027
ting pai dao 	停牌到	c=1 d=1 t=7212
ting pai de hua 	停牌的話	c=1 d=1 t=7220
ting pai le 	停牌了	c=2 d=1.95123 t=11007
ting qi 	挺起	c=0 d=0.1 t=11106
ting qi le ji liang 	挺起了脊樑	c=1 d=1 t=11107
ting qing 	聽清	c=1 d=1 t=5729
ting shuo 	聽說	c=1 d=1 t=5832
ting xiang 	挺像	c=0 d=0.1 t=11365
ting xiang 	挺想	c=0 d=0.1 t=3699
ting zhi 	停止	c=0 d=0.1 t=11145
ting zhi ding yue 	停止訂閱	c=1 d=1 t=11146
tong 	同	c=0 d=0.1 t=1758
tong 	通	c=1 d=1 t=9190
tong bi 	同比	c=2 d=1.00054 t=10371
tong bu 	同步	c=3 d=0.267797 t=15593
tong guo 	通過	c=1 d=1 t=15902
tong guo le 	通過了	c=1 d=1 t=3712
tong guo wu wang 	通過無望	c=1 d=1 t=7845
tong ji 	統計	c=2 d=0.1 t=12869
tong ku 	痛苦	c=0 d=0.1 t=9830
tong shi 	同事	c=12 d=1.80227 t=14719
tong shi 	同時	c=3 d=1.98511 t=9798
tong wen 	同問	c=1 d=1 t=8861
tong xin 	通信	c=1 d=1 t=823
tong xue 	同學	c=0 d=0.1 t=2074
tong xue jiu shi 	同學就是	c=1 d=1 t=2075
tong yi zhong 	同一種	c=1 d=1 t=9455
tong yong 	通用	c=0 d=0.1 t=16295
tong yong gui fan 	通用規範	c=1 d=1 t=16296
tong zhen 	童真	c=1 d=1 t=10131
tong zhi 	童稚	c=2 d=1.00027 t=6365
tong zhi 	通知	c=1 d=0.101103 t=7738
tou 	投	c=0 d=0.1 t=11052
tou fa 	頭髮	c=1 d=1 t=5887
tou ming 	透明	c=0 d=0.1 t=14878
tou ming dai li 	透明代理	c=2 d=1.9802 t=14883
tou qi xing 	透氣性	c=1 d=1 t=510
tou ru 	投入	c=0 d=0.1 t=13023
tou su 	投訴	c=0 d=0.1 t=9914
tou su ta 	投訴他	c=2 d=1.90032 t=9936
tou tian 	頭天	c=1 d=1 t=2165
tou tian wan shang 	頭天晚上	c=1 d=1 t=2158
tou xu 	頭緒	c=0 d=0.1 t=15614
tou yi ci 	頭一次	c=1 d=1 t=5831
tu 	吐	c=1 d=0.34123 t=3882
tu 	圖	c=3 d=1.00001 t=13912
tu bu tu 	吐不吐	c=1 d=1 t=3656
tu chu lai 	吐出來	c=3 d=1.96561 t=3881
tu chuang 	圖牀	c=8 d=1.00019 t=9857
tu dou 	土豆	c=2 d=1 t=13677
tu er qi 	土耳其	c=2 d=1.00012 t=13451
tu er qi ren 	土耳其人	c=1 d=1 t=11799
tu jing 	途徑	c=0 d=0.1 t=16150
tu qu 	土區	c=6 d=1 t=14110
tu ran 	突然	c=1 d=1 t=14441
tu shu guan 	圖書館	c=0 d=0.1 t=7125
tu xiang shi bie 	圖像識別	c=1 d=1 t=2133
tu zhong de 	圖中的	c=1 d=1 t=6945
tuan zi 	糰子	c=0 d=0.1 t=8087
tui 	推	c=1 d=0.943665 t=8338
tui 	腿	c=1 d=0.404221 t=4603
tui 	退	c=2 d=1 t=12096
tui ce 	推測	c=1 d=1 t=13612
tui chi le 	推遲了	c=1 d=1 t=11499
tui chu 	退出	c=0 d=0.1 t=9340
tui chu le 	退出了	c=1 d=1 t=11057
tui chu li shi wu tai le 	退出歷史舞臺了	c=1 d=1 t=9341
tui hui 	退回	c=0 d=0.1 t=6210
tui jian 	推薦	c=13 d=2.13302 t=15592
tui jian de 	推薦的	c=1 d=1 t=9853
tui jian xia 	推薦下	c=1 d=1 t=698
tui kuan 	退款	c=0 d=0.1 t=1677
tui xiu le 	退休了	c=1 d=1 t=9392
tui yi xia 	推一下	c=1 d=1.03707 t=8352
tuo 	拖	c=1 d=1 t=188
tuo kou xiu 	脫口秀	c=0 d=0.1 t=14964
tuo kou xiu zhong 	脫口秀中	c=1 d=1 t=14965
tuo le 	坨了	c=1 d=1 t=5676
tuo pu tu 	拓撲圖	c=1 d=1 t=14950
tuo xie 	妥協	c=1 d=1 t=12436
wa 	娃	c=5 d=2.57658 t=13813
wa sai 	哇塞	c=1 d=1 t=3039
wai 	外	c=0 d=0.1 t=8509
wai chu 	外出	c=1 d=1 t=13472
wai guan 	外觀	c=0 d=0.1 t=10316
wai guan shen du 	外觀深度	c=1 d=1 t=10317
wai jian 	外鍵	c=2 d=1.96561 t=5322
wai le 	歪了	c=1 d=1 t=11880
wai mai 	外賣	c=3 d=0.1 t=11264
wai mian 	外面	c=2 d=1.00049 t=6743
wai qi 	外企	c=1 d=1 t=5854
wai wang 	外網	c=2 d=1.67032 t=9699
wan 	完	c=3 d=0.100604 t=14121
wan 	晚	c=1 d=0.1 t=8015
wan 	玩	c=0 d=0.100002 t=12138
wan 	萬	c=1 d=1 t=12945
wan a 	萬啊	c=1 d=1 t=13535
wan bi 	完畢	c=0 d=0.1 t=14669
wan bu qi 	玩不起	c=2 d=1 t=13159
wan cheng 	完成	c=2 d=0.1 t=13560
wan cheng le 	完成了	c=4 d=1.03782 t=14814
wan dan le 	完蛋了	c=1 d=1 t=236
wan de 	晚的	c=0 d=0.1 t=5439
wan de 	玩的	c=3 d=1 t=4920
wan du zi 	完犢子	c=1 d=1 t=13100
wan er 	玩兒	c=0 d=0.1 t=6404
wan fa 	玩法	c=1 d=1 t=7206
wan fen gan xie 	萬分感謝	c=1 d=1 t=1771
wan le 	完了	c=0 d=0.100592 t=13319
wan le 	晚了	c=1 d=1 t=13658
wan ma ben teng 	萬馬奔騰	c=1 d=1 t=11715
wan quan 	完全	c=0 d=0.1 t=3478
wan quan ke yi 	完全可以	c=0 d=0.1 t=1428
wan quan sheng ren 	完全勝任	c=1 d=1 t=3479
wan run 	萬潤	c=1 d=1 t=7728
wan shang 	晚上	c=17 d=1 t=13894
wan shang chi shen me 	晚上喫什麼	c=2 d=1.00006 t=13296
wan shi er 	完事兒	c=1 d=1 t=6238
wan shi ru yi 	萬事如意	c=0 d=0.1 t=13326
wan shi ru yi ba 	萬事如意吧	c=1 d=1 t=13327
wan shou ji 	玩手機	c=1 d=1 t=9923
wan wan 	玩完	c=2 d=1 t=10571
wan xiao 	玩笑	c=0 d=0.1 t=12144
wan yi 	玩意	c=2 d=1 t=9907
wan yi 	萬一	c=2 d=0.1 t=13027
wan yi dian 	晚一點	c=2 d=1 t=14541
wan yi er 	玩意兒	c=0 d=0.1 t=11976
wan yi hui 	晚一會	c=1 d=1 t=3080
wan yi tian 	晚一天	c=2 d=1.94176 t=8028
wan yi tian 	玩一天	c=1 d=1 t=8015
wan zhao 	萬兆	c=1 d=1 t=4913
wan zhe 	玩着	c=0 d=0.1 t=1296
wan zhe ne 	玩着呢	c=1 d=1 t=1297
wang 	往	c=2 d=1.00308 t=11613
wang 	忘	c=0 d=0.1 t=9986
wang 	望	c=1 d=1 t=11355
wang 	王	c=1 d=1 t=15285
wang 	網	c=0 d=0.1 t=15128
wang chu 	往出	c=1 d=1 t=9312
wang chu zu 	往出租	c=1 d=1 t=5685
wang chuang wai wang wang 	往窗外望望	c=1 d=1 t=2773
wang dou 	網兜	c=1 d=1 t=5222
wang hao de 	往好的	c=1 d=1 t=10435
wang hong 	王洪	c=0 d=0.1 t=9475
wang hong yun 	王洪雲	c=5 d=1.18244 t=15956
wang ka 	網卡	c=4 d=1 t=14629
wang ka shang 	網卡上	c=1 d=1 t=1606
wang le 	忘了	c=3 d=1.89137 t=14248
wang li 	往裏	c=0 d=0.1 t=2359
wang li jia 	往裏加	c=1 d=1 t=2360
wang li mian 	往裏面	c=2 d=1 t=10878
wang luo 	網絡	c=4 d=1.00105 t=15892
wang luo bu tong 	網絡不同	c=1 d=1 t=386
wang luo bu wen ding 	網絡不穩定	c=1 d=1 t=11641
wang luo ji shu 	網絡技術	c=1 d=1 t=15830
wang luo wen ti 	網絡問題	c=1 d=1 t=2910
wang luo xiang guan 	網絡相關	c=1 d=1 t=14635
wang ming zhi tu 	亡命之徒	c=0 d=0.1 t=2803
wang neng hao 	王能好	c=1 d=1 t=13328
wang pan 	網盤	c=12 d=1.08215 t=16004
wang qiao 	網橋	c=1 d=1 t=16012
wang shang 	網上	c=0 d=0.1 t=14073
wang shang cha le xia 	網上查了下	c=1 d=1 t=1672
wang shang zou 	往上走	c=0 d=0.1 t=4234
wang si li 	往死裏	c=0 d=0.1 t=10475
wang si li gao 	往死裏搞	c=1 d=1 t=10476
wang wang 	望望	c=0 d=0.1 t=2772
wang wang 	王望	c=2 d=1.9802 t=2814
wang xia 	往下	c=1 d=1 t=4232
wang xian 	網線	c=2 d=1 t=4914
wang xin yun 	網心雲	c=1 d=1 t=15129
wang xiu qi 	王修齊	c=1 d=1 t=9866
wang you 	網友	c=4 d=1.00067 t=9083
wang you wen ti 	網有問題	c=1 d=1 t=9261
wang zhan 	網站	c=2 d=1 t=13598
wang zheng 	王正	c=0 d=0.1 t=9866
wang zheng ze 	王正則	c=1 d=1 t=9867
wang zhi 	網址	c=1 d=1 t=2928
wei 	位	c=1 d=1 t=4706
wei 	偉	c=1 d=1 t=13607
wei 	味	c=0 d=0.1 t=3661
wei 	未	c=0 d=0.1 t=1778
wei 	爲	c=5 d=1.23987 t=15891
wei 	胃	c=1 d=1 t=8003
wei chai 	濰柴	c=2 d=1.00204 t=12672
wei chai ne 	濰柴呢	c=1 d=1 t=4846
wei chai sha bi 	濰柴傻逼	c=1 d=1 t=6764
wei dao 	味道	c=0 d=0.1 t=12493
wei dao bu hao 	味道不好	c=1 d=1 t=7753
wei dao jiu bian le 	味道就便了	c=1 d=1 t=12494
wei dao zen me yang 	味道怎麼樣	c=2 d=1.04736 t=10354
wei dian zi 	微電子	c=1 d=1 t=884
wei er 	味兒	c=0 d=0.1 t=311
wei fang 	濰坊	c=2 d=0.104135 t=11281
wei guan 	圍觀	c=1 d=1 t=661
wei guan 	尉官	c=1 d=1 t=660
wei hu 	維護	c=0 d=0.1 t=5544
wei kou 	胃口	c=0 d=0.100002 t=11654
